,dropoff_datetime,dropoff_latitude,dropoff_longitude,dropoff_taxizone_id,ehail_fee,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_datetime,pickup_latitude,pickup_longitude,pickup_taxizone_id,rate_code_id,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,trip_distance,trip_type,vendor_id,trip_id
0,2009-01-01 00:04:12,40.777058,-73.94960999999998,263.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:00,40.771244,-73.96592,237.0,,,0.0,0.0,5.8,1.3,"""yellow""","""CMT""",0
1,2009-01-01 00:05:03,40.735703,-74.005936,249.0,,0.0,5.4,,,,"""Cash""",2009-01-01 00:00:00,40.725952,-73.99748000000002,114.0,,,0.0,0.0,5.4,0.9,"""yellow""","""CMT""",1
2,2009-01-01 00:05:40,40.773746,-73.97775,43.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:02,40.76739,-73.9648,237.0,,,0.0,0.0,5.8,1.0,"""yellow""","""CMT""",2
3,2009-01-01 00:03:08,40.70936,-74.01346600000002,261.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:00:04,40.70883,-74.0116,261.0,,,0.0,0.0,4.6,0.8,"""yellow""","""CMT""",3
4,2009-01-01 00:19:01,40.712368,-73.94458,80.0,,0.0,27.8,,,,"""Cash""",2009-01-01 00:00:07,40.71858,-74.00065,144.0,,,0.0,0.0,27.8,5.5,"""yellow""","""CMT""",4
5,2009-01-01 00:05:43,40.76229,-73.97818000000002,161.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:09,40.755188,-73.965065,229.0,,,0.0,0.0,5.8,0.9,"""yellow""","""CMT""",5
6,2009-01-01 00:05:50,40.768616,-73.985664,48.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:10,40.758717,-73.992584,48.0,,,0.0,0.0,5.8,1.0,"""yellow""","""CMT""",6
7,2009-01-01 00:15:27,40.759197,-73.96687,229.0,,0.0,10.6,,,,"""Cash""",2009-01-01 00:00:13,40.763603,-73.996346,50.0,,,0.0,0.0,10.6,2.1,"""yellow""","""CMT""",7
8,2009-01-01 00:01:29,40.754433,-73.99925999999998,246.0,,0.5,2.9,,,,"""CASH""",2009-01-01 00:00:15,40.75079,-74.00196,246.0,,,0.0,0.0,3.4,0.2,"""yellow""","""DDS""",8
9,2009-01-01 00:12:02,40.726658,-73.988686,79.0,,0.0,11.8,,,,"""Cash""",2009-01-01 00:00:16,40.7068,-73.93972,37.0,,,0.0,0.0,11.8,3.7,"""yellow""","""CMT""",9
10,2009-01-01 00:22:02,40.751343,-73.856606,173.0,,0.0,20.2,,,,"""Cash""",2009-01-01 00:00:17,40.771976,-73.95612,141.0,,,0.0,0.0,20.2,7.2,"""yellow""","""CMT""",10
11,2009-01-01 00:18:29,40.85133,-73.939735,243.0,,0.0,23.4,,,,"""Cash""",2009-01-01 00:00:21,40.742992,-74.00765,246.0,,,0.0,0.0,23.4,9.1,"""yellow""","""CMT""",11
12,2009-01-01 00:15:25,40.77954,-73.98395,143.0,,0.0,12.2,,,,"""Cash""",2009-01-01 00:00:23,40.738735,-74.00936999999998,158.0,,,0.0,0.0,12.2,3.8,"""yellow""","""CMT""",12
13,2009-01-01 00:13:41,0.0,0.0,,,0.0,17.8,,,,"""Cash""",2009-01-01 00:00:25,0.0,0.0,,,,0.0,0.0,17.8,7.1,"""yellow""","""CMT""",13
14,2009-01-01 00:04:55,40.76916,-73.95898000000003,141.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:27,40.76489,-73.97447,163.0,,,0.0,0.0,5.8,1.2,"""yellow""","""CMT""",14
15,2009-01-01 00:27:44,40.67635,-73.96356,189.0,,0.0,30.2,,,,"""Cash""",2009-01-01 00:00:27,40.644882,-73.782104,132.0,,,0.0,0.0,30.2,12.3,"""yellow""","""CMT""",15
16,2009-01-01 00:09:31,40.72244600000001,-73.97869,4.0,,0.0,7.4,,,,"""Cash""",2009-01-01 00:00:27,40.730976,-74.00146,114.0,,,0.0,0.0,7.4,1.6,"""yellow""","""CMT""",16
17,2009-01-01 00:11:10,40.7387,-73.98786,234.0,,0.0,9.0,,,,"""Cash""",2009-01-01 00:00:28,40.762695,-73.97298,163.0,,,0.0,0.0,9.0,2.1,"""yellow""","""CMT""",17
18,2009-01-01 00:14:58,40.823273,-73.94091999999998,42.0,,0.0,21.4,,,,"""Credit""",2009-01-01 00:00:29,40.76902800000001,-73.86278,138.0,,,5.0,5.0,31.4,9.1,"""yellow""","""CMT""",18
19,2009-01-01 00:19:07,40.778713,-73.958115,236.0,,0.0,14.6,,,,"""No Charge""",2009-01-01 00:00:29,40.740223,-74.00585,158.0,,,0.0,0.0,14.6,4.4,"""yellow""","""CMT""",19
20,2009-01-01 00:27:08,41.36614,-73.13739,,,0.5,17.3,,,,"""CASH""",2009-01-01 00:00:29,41.36614,-73.13739,,,,0.0,0.0,17.8,5.4,"""yellow""","""DDS""",20
21,2009-01-01 00:17:16,40.793053,-73.9675,238.0,,0.0,15.8,,,,"""Cash""",2009-01-01 00:00:29,40.726578,-73.98638000000003,79.0,,,0.0,0.0,15.8,5.9,"""yellow""","""CMT""",21
22,2009-01-01 00:03:59,40.722527,-73.9862,79.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:00:30,40.728855,-73.9846,79.0,,,0.0,0.0,4.6,0.5,"""yellow""","""CMT""",22
23,2009-01-01 00:06:58,40.71723,-73.95824,255.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:00:30,40.726925,-73.952675,112.0,,,0.0,0.0,5.8,0.9,"""yellow""","""CMT""",23
24,2009-01-01 00:22:26,40.793526,-73.97468,238.0,,0.0,25.0,,,,"""Cash""",2009-01-01 00:00:33,40.769108,-73.86284,138.0,,,0.0,5.0,30.0,9.9,"""yellow""","""CMT""",24
25,2009-01-01 00:11:19,40.793343,-73.96726,238.0,,0.0,10.2,,,,"""Credit""",2009-01-01 00:00:36,40.76401,-73.95591,140.0,,,2.04,0.0,12.24,3.0,"""yellow""","""CMT""",25
26,2009-01-01 00:07:31,40.73939,-74.00632,158.0,,0.0,7.0,,,,"""Credit""",2009-01-01 00:00:37,40.727444,-73.99354,114.0,,,1.0,0.0,8.0,1.4,"""yellow""","""CMT""",26
27,2009-01-01 00:04:55,40.773502,-73.97889,142.0,,0.5,4.5,,,,"""CASH""",2009-01-01 00:00:39,40.78204,-73.975876,239.0,,,0.0,0.0,5.0,0.7,"""yellow""","""DDS""",27
28,2009-01-01 00:10:36,40.726974,-73.98005,79.0,,0.0,7.8,,,,"""Cash""",2009-01-01 00:00:45,40.73959,-73.993965,234.0,,,0.0,0.0,7.8,1.6,"""yellow""","""CMT""",28
29,2009-01-01 00:13:22,40.769543,-73.989426,50.0,,0.0,15.0,,,,"""Credit""",2009-01-01 00:00:46,40.806763,-73.953735,41.0,,,1.0,0.0,16.0,5.3,"""yellow""","""CMT""",29
30,2009-01-01 00:09:30,40.76816,-73.95299,140.0,,0.0,7.8,,,,"""Cash""",2009-01-01 00:00:46,40.765057,-73.97661,163.0,,,0.0,0.0,7.8,1.9,"""yellow""","""CMT""",30
31,2009-01-01 00:07:38,40.72918,-74.00254,249.0,,0.0,6.6,,,,"""Cash""",2009-01-01 00:00:48,40.732994,-73.98770999999998,79.0,,,0.0,0.0,6.6,1.3,"""yellow""","""CMT""",31
32,2009-01-01 00:06:54,40.762337,-73.8781,129.0,,0.0,6.6,,,,"""Cash""",2009-01-01 00:00:49,40.774044,-73.87304,138.0,,,0.0,0.0,6.6,1.3,"""yellow""","""CMT""",32
33,2009-01-01 00:03:41,40.730007,-73.99078,113.0,,0.0,4.2,,,,"""Cash""",2009-01-01 00:00:49,40.72784,-73.99319,114.0,,,0.0,0.0,4.2,0.2,"""yellow""","""CMT""",33
34,2009-01-01 00:08:41,40.774513,-73.98871,143.0,,0.0,7.0,,,,"""Cash""",2009-01-01 00:00:51,40.75668,-73.99769599999998,246.0,,,0.0,0.0,7.0,1.6,"""yellow""","""CMT""",34
35,2009-01-01 00:20:34,40.762226,-73.919655,7.0,,0.0,17.4,,,,"""Cash""",2009-01-01 00:00:52,40.73993,-73.98956,234.0,,,0.0,0.0,17.4,6.1,"""yellow""","""CMT""",35
36,2009-01-01 00:20:23,40.72127,-74.00165600000003,211.0,,0.0,26.2,,,,"""Cash""",2009-01-01 00:00:52,40.7689,-73.862724,138.0,,,0.0,0.0,26.2,10.8,"""yellow""","""CMT""",36
37,2009-01-01 00:02:50,40.746433,-73.97778000000002,170.0,,0.0,3.4,,,,"""Cash""",2009-01-01 00:00:53,40.746433,-73.97778000000002,170.0,,,0.0,0.0,3.4,0.0,"""yellow""","""CMT""",37
38,2009-01-01 00:18:28,40.657482,-73.91249,35.0,,0.0,15.0,,,,"""Cash""",2009-01-01 00:00:56,40.677773,-73.98312,106.0,,,0.0,0.0,15.0,4.7,"""yellow""","""CMT""",38
